,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,liaoyang,0,CN,1579479377,77,5.0,41.27,123.17,2.24
1,nova olinda do norte,100,BR,1579479625,91,77.31,-3.89,-59.09,0.31
2,khandbari,2,NP,1579479625,50,29.14,27.37,87.2,4.21
3,touros,20,BR,1579479625,83,78.8,-5.2,-35.46,5.82
4,bredasdorp,100,ZA,1579479625,88,64.4,-34.53,20.04,17.22
5,mackenzie,90,CA,1579479626,85,12.2,55.3,-123.17,5.26
6,sorong,21,ID,1579479404,67,82.4,-0.88,131.25,6.53
7,cape town,75,ZA,1579479532,82,66.99,-33.93,18.42,18.34
8,sorland,100,NO,1579479626,93,44.42,67.67,12.69,39.57
9,rikitea,100,PF,1579479448,78,78.24,-23.12,-134.97,9.86
10,the valley,40,AI,1579479408,78,75.2,18.22,-63.06,14.99
11,coruripe,31,BR,1579479626,76,79.88,-10.13,-36.18,11.14
12,aykhal,52,RU,1579479626,75,-16.6,66.0,111.5,6.71
13,vaini,23,TO,1579479626,75,77.52,-21.2,-175.2,16.42
14,allahabad,0,IN,1579479626,75,48.94,25.45,81.85,5.37
15,punta arenas,11,CL,1579479626,57,51.8,-53.15,-70.92,28.86
16,tuktoyaktuk,5,CA,1579479627,74,-22.0,69.45,-133.04,5.82
17,albany,90,US,1579479627,53,28.0,42.6,-73.97,24.16
18,port alfred,99,ZA,1579479627,76,66.99,-33.59,26.89,7.0
19,yellowknife,90,CA,1579479627,83,-9.4,62.46,-114.35,12.75
20,tiksi,100,RU,1579479627,83,-5.87,71.69,128.87,9.73
21,bluff,98,NZ,1579479627,94,59.0,-46.6,168.33,5.99
22,mataura,97,NZ,1579479627,94,59.0,-46.19,168.86,5.99
23,ushuaia,75,AR,1579479516,75,46.4,-54.8,-68.3,40.26
24,hofn,30,IS,1579479627,84,43.43,64.25,-15.21,38.59
25,busselton,0,AU,1579479627,62,68.0,-33.65,115.33,1.01
26,port elizabeth,75,ZA,1579479627,68,66.2,-33.92,25.57,20.8
27,college,1,US,1579479627,74,-22.0,64.86,-147.8,0.98
28,victoria,40,HK,1579479557,67,62.01,22.29,114.16,5.82
29,imeni poliny osipenko,100,RU,1579479628,99,-12.86,52.42,136.49,2.06
30,kaspiyskiy,98,RU,1579479628,70,31.77,45.39,47.37,1.99
31,lebu,0,CL,1579479628,68,58.42,-37.62,-73.65,9.82
32,fairbanks,1,US,1579479580,74,-23.8,64.84,-147.72,1.43
33,nikolskoye,90,RU,1579479628,93,36.0,59.7,30.79,8.95
34,cherskiy,100,RU,1579479628,97,-24.21,68.75,161.3,6.35
35,goderich,79,CA,1579479628,75,26.01,43.75,-81.72,4.0
36,georgetown,20,MY,1579479618,88,78.8,5.41,100.34,3.51
37,bethel,1,US,1579479628,74,36.0,41.37,-73.41,8.05
38,najran,0,SA,1579479628,28,57.2,17.49,44.13,1.45
39,flinders,75,AU,1579479628,69,79.0,-34.58,150.86,8.05
40,codrington,100,AU,1579479628,88,60.06,-38.27,141.97,24.16
41,mvuma,100,ZW,1579479628,95,64.65,-19.28,30.53,13.8
42,jamestown,90,US,1579479607,78,23.0,42.1,-79.24,13.87
43,bundaberg,0,AU,1579479629,66,89.01,-24.85,152.35,17.22
44,upernavik,82,GL,1579479629,84,-13.11,72.79,-56.15,10.29
45,chuy,16,UY,1579479629,86,71.58,-33.7,-53.46,10.0
46,tizimin,51,MX,1579479629,75,73.71,21.15,-88.15,5.97
47,narsaq,68,GL,1579479629,36,12.2,60.92,-46.05,5.82
48,nizwa,0,OM,1579479629,66,54.27,22.93,57.53,0.2
49,qaanaaq,0,GL,1579479629,49,-18.49,77.48,-69.36,7.09
50,carnarvon,0,AU,1579479587,73,77.0,-24.87,113.63,21.92
51,lillooet,90,CA,1579479629,93,37.4,50.69,-121.94,3.36
52,siayan,13,PH,1579479629,81,80.02,8.27,123.1,17.38
53,benjamin constant,75,BR,1579479629,100,77.0,-4.38,-70.03,2.15
54,tulun,100,RU,1579479630,88,0.16,54.56,100.58,2.35
55,vrangel,26,RU,1579479630,68,26.06,42.73,133.08,18.16
56,hopelchen,5,MX,1579479630,78,77.0,19.77,-89.85,11.41
57,atuona,6,PF,1579479539,74,80.94,-9.8,-139.03,11.45
58,palmer,20,US,1579479630,50,34.0,42.16,-72.33,19.46
59,cabo san lucas,5,MX,1579479602,64,77.0,22.89,-109.91,8.25
60,kaniama,100,CD,1579479630,91,63.88,-7.57,24.18,1.5
61,hermanus,100,ZA,1579479630,99,66.0,-34.42,19.23,7.0
62,butaritari,50,KI,1579479630,76,84.78,3.07,172.79,9.04
63,poum,1,NC,1579479630,78,78.96,-20.23,164.02,16.02
64,dikson,59,RU,1579479630,94,-26.09,73.51,80.55,7.49
65,fort nelson,20,CA,1579479630,69,-11.2,58.81,-122.7,2.24
66,constitucion,76,CL,1579479631,87,56.48,-35.33,-72.42,3.27
67,lawton,1,US,1579479350,33,48.2,34.61,-98.39,3.36
68,hobart,75,AU,1579479496,63,63.0,-42.88,147.33,10.29
69,mahebourg,75,MU,1579479631,88,80.6,-20.41,57.7,2.24
70,vaitape,100,PF,1579479631,78,81.48,-16.52,-151.75,11.43
71,sipoo,75,FI,1579479631,80,39.2,60.38,25.27,12.75
72,yumen,0,CN,1579479631,84,11.14,40.28,97.2,7.58
73,mar del plata,0,AR,1579479631,47,80.01,-38.0,-57.56,9.17
74,aklavik,5,CA,1579479631,75,-18.4,68.22,-135.01,4.7
75,kapaa,40,US,1579479631,57,78.8,22.08,-159.32,16.11
76,asau,90,RO,1579479631,74,33.8,46.43,26.4,6.93
77,hilo,75,US,1579479631,61,78.8,19.73,-155.09,10.29
78,aqtobe,90,KZ,1579479631,86,28.4,50.28,57.21,11.18
79,veraval,0,IN,1579479631,47,60.39,20.9,70.37,13.69
80,alofi,100,NU,1579479631,79,84.2,-19.06,-169.92,8.05
81,hervey bay,0,AU,1579479632,66,89.01,-25.3,152.85,17.22
82,port hedland,47,AU,1579479632,88,80.6,-20.32,118.57,8.05
83,santa barbara,90,US,1579479551,45,68.0,34.42,-119.7,1.43
84,saint george,1,US,1579479534,28,55.4,37.1,-113.58,1.74
85,genhe,99,CN,1579479632,99,-13.07,50.78,121.52,2.8
86,yining,0,CN,1579479632,87,38.41,29.04,114.56,0.81
87,bambous virieux,75,MU,1579479632,88,80.6,-20.34,57.76,2.24
88,townsville,40,AU,1579479632,66,93.0,-19.25,146.8,11.41
89,egersund,99,NO,1579479632,93,45.0,58.45,6.0,5.82
90,tasiilaq,100,GL,1579479632,92,26.6,65.61,-37.64,13.87
91,lagoa,86,PT,1579479524,77,62.98,39.05,-27.98,24.34
92,inuvik,5,CA,1579479454,75,-18.4,68.35,-133.72,4.7
93,iqaluit,20,CA,1579479633,69,-9.0,63.75,-68.51,6.93
94,mayo,1,US,1579479633,62,34.0,38.89,-76.51,16.11
95,bathsheba,40,BB,1579479633,74,78.8,13.22,-59.52,18.34
96,sao felix do xingu,71,BR,1579479633,82,76.14,-6.64,-51.99,2.35
97,kodiak,1,US,1579479633,78,32.0,57.79,-152.41,14.99
98,kavieng,59,PG,1579479633,73,84.29,-2.57,150.8,19.17
99,mut,60,TR,1579479633,60,34.77,36.64,33.44,5.91
100,griffith,40,US,1579479633,78,21.0,41.53,-87.42,11.41
101,puerto ayora,75,EC,1579479633,74,80.6,-0.74,-90.35,14.99
102,nanakuli,75,US,1579479633,64,82.4,21.39,-158.15,11.41
103,santa isabel,75,BR,1579479634,88,69.8,-23.32,-46.22,8.05
104,beringovskiy,90,RU,1579479634,100,0.34,63.05,179.32,11.88
105,guiratinga,100,BR,1579479634,85,76.26,-16.35,-53.76,1.48
106,edd,1,ER,1579479634,77,73.22,13.93,41.69,3.42
107,avera,1,US,1579479634,36,48.99,33.19,-82.53,11.41
108,velsk,100,RU,1579479634,98,33.19,61.07,42.1,5.17
109,lavrentiya,100,RU,1579479634,95,8.69,65.58,-171.0,8.95
110,gat,40,IL,1579479634,87,53.6,31.61,34.76,10.29
111,severo-kurilsk,1,RU,1579479634,83,17.02,50.68,156.12,4.23
112,avarua,100,CK,1579479634,88,80.6,-21.21,-159.78,10.29
113,pevek,100,RU,1579479634,95,-0.76,69.7,170.31,13.94
114,miragoane,0,HT,1579479635,69,79.88,18.44,-73.09,8.34
115,brezova pod bradlom,100,SK,1579479635,97,37.4,48.66,17.54,6.93
116,rehoboth,0,NA,1579479635,27,64.42,-23.32,17.08,11.03
117,darhan,45,MN,1579479635,78,-4.97,49.49,105.92,7.85
118,saskylakh,94,RU,1579479635,99,-27.38,71.92,114.08,2.71
119,requena,75,ES,1579479635,61,48.2,39.49,-1.1,21.92
120,acari,99,PE,1579479635,93,66.43,-15.43,-74.62,4.65
121,antsohihy,95,MG,1579479635,95,74.68,-14.88,47.99,5.73
122,hammerfest,75,NO,1579479635,96,33.8,70.66,23.68,25.28
123,tetiyiv,0,UA,1579479635,86,27.19,49.38,29.66,4.97
124,atasu,64,KZ,1579479635,90,8.76,48.68,71.64,6.46
125,majene,89,ID,1579479636,76,80.44,-3.54,118.97,3.31
126,biltine,0,TD,1579479636,22,63.07,14.53,20.92,17.16
127,havre-saint-pierre,90,CA,1579479636,77,6.8,50.23,-63.6,13.87
128,khatanga,100,RU,1579479636,97,-21.84,71.97,102.5,5.28
129,lisakovsk,28,KZ,1579479636,94,9.86,52.54,62.49,9.66
130,richards bay,89,ZA,1579479636,75,72.81,-28.78,32.04,27.83
131,point pleasant,90,US,1579479636,50,36.0,40.08,-74.07,13.87
132,guangshui,31,CN,1579479636,70,38.86,31.62,114.0,1.74
133,zhigansk,98,RU,1579479636,97,-15.88,66.77,123.37,11.39
134,lucea,20,JM,1579479636,74,80.6,18.45,-78.17,12.75
135,quatre cocos,75,MU,1579479636,88,80.6,-20.21,57.76,2.24
136,rapar,0,IN,1579479378,49,59.27,23.57,70.63,10.87
137,mount isa,88,AU,1579479636,31,89.6,-20.73,139.5,16.11
138,salta,75,AR,1579479636,73,80.6,-24.79,-65.41,3.36
139,maceio,20,BR,1579479377,83,77.0,-9.67,-35.74,6.93
140,ambanja,100,MG,1579479637,86,78.4,-13.68,48.45,1.19
141,saint-philippe,93,RE,1579479637,83,78.8,-21.36,55.77,4.7
142,ancud,0,CL,1579479637,63,60.8,-41.87,-73.82,13.87
143,chimbote,7,PE,1579479637,74,72.09,-9.09,-78.58,6.55
144,namie,75,JP,1579479637,100,48.99,37.48,141.0,9.17
145,khani,0,GE,1579479637,64,37.4,41.96,42.96,12.75
146,jimma,7,ET,1579479637,69,59.16,7.67,36.83,1.1
147,kharp,89,RU,1579479637,95,9.36,66.8,65.81,10.71
148,sarishabari,92,BD,1579479637,73,63.79,24.73,89.83,6.91
149,fortuna,20,US,1579479637,81,54.0,40.6,-124.16,2.95
150,perth,0,AU,1579479368,49,73.99,-31.93,115.83,4.7
151,vao,4,NC,1579479638,66,76.12,-22.67,167.48,14.38
152,nyuksenitsa,100,RU,1579479638,98,32.67,60.41,44.24,6.82
153,forest grove,1,US,1579479638,66,55.0,45.52,-123.11,5.82
154,naftalan,90,AZ,1579479638,93,35.6,40.51,46.83,4.7
155,shahrud,100,IR,1579479638,69,29.57,36.42,54.98,4.76
156,kahului,40,US,1579479638,78,73.4,20.89,-156.47,6.93
157,north bend,1,US,1579479552,81,55.0,43.41,-124.22,5.82
158,longyearbyen,75,SJ,1579479638,68,26.6,78.22,15.64,16.11
159,thompson,20,CA,1579479634,77,-2.2,55.74,-97.86,10.29
